"x","y","p"
69,93,5
69,94,0
69,95,0
69,96,0
69,97,0
69,98,0
69,99,0
69,100,0
69,101,5
69,102,5
69,103,5
69,104,4
69,105,4
69,106,5
69,107,4
69,108,0
69,109,0
69,110,0
69,111,0
69,112,0
69,113,0
69,114,0
69,115,0
69,116,0
69,117,0
69,118,0
69,119,0
69,120,0
69,121,5
69,122,5
69,123,5
69,124,5
69,125,5
69,126,0
69,127,0
69,128,0
69,129,4
69,130,3
70,40,0
70,41,0
70,42,0
70,43,0
70,44,0
70,45,0
70,46,0
70,47,0
70,48,0
70,49,0
70,50,0
70,51,0
70,52,0
70,53,1
70,54,2
70,55,2
70,56,5
70,57,5
70,58,5
70,59,3
70,60,5
70,61,4
70,62,5
70,63,5
70,64,4
70,65,4
70,66,2
70,67,3
70,68,5
70,69,5
70,70,5
70,71,3
70,72,3
70,73,0
70,74,5
70,75,5
70,76,0
70,86,0
70,87,0
70,88,0
70,89,0
70,90,1
70,91,0
70,92,0
70,93,0
70,94,0
70,95,0
70,96,0
70,97,0
70,98,0
70,99,0
70,100,0
70,101,1
70,102,4
70,103,5
70,104,4
70,105,5
70,106,4
70,107,5
70,108,0
70,109,0
70,110,0
70,111,0
70,112,0
70,113,0
70,114,0
70,115,0
70,116,0
70,117,0
70,118,0
70,119,5
70,120,4
70,121,5
70,122,5
70,123,5
70,124,2
70,125,5
70,126,5
70,127,0
70,128,3
70,129,4
70,130,4
71,40,0
71,41,0
71,42,0
71,43,0
71,44,0
71,45,0
71,46,0
71,47,0
71,48,0
71,49,0
71,50,0
71,51,0
71,52,0
71,53,1
71,54,2
71,55,2
71,56,5
71,57,5
71,58,5
71,59,3
71,60,5
71,61,5
71,62,3
71,63,3
71,64,3
71,65,3
71,66,3
71,67,4
71,68,4
71,69,4
71,70,5
71,71,5
71,72,5
71,73,4
71,74,5
71,75,3
71,76,3
71,77,3
71,85,1
71,86,0
71,87,0
71,88,0
71,89,0
71,90,0
71,91,0
71,92,0
71,93,0
71,94,0
71,95,0
71,96,0
71,97,0
71,98,0
71,99,0
71,100,0
71,101,5
71,102,5
71,103,4
71,104,4
71,105,5
71,106,0
71,107,0
71,108,0
71,109,0
71,110,0
71,111,0
71,112,0
71,113,0
71,114,0
71,115,0
71,116,0
71,117,0
71,118,0
71,119,5
71,120,5
71,121,3
71,122,4
71,123,5
71,124,4
71,125,0
71,126,0
71,127,0
71,128,5
71,129,3
72,40,0
72,41,0
72,42,0
72,43,0
72,44,0
72,45,0
72,46,0
72,47,0
72,48,0
72,49,0
72,50,0
72,51,0
72,52,0
72,53,0
72,54,1
72,55,1
72,56,0
72,57,0
72,58,2
72,59,2
72,60,3
72,61,5
72,62,3
72,63,3
72,64,3
72,65,4
72,66,3
72,67,5
72,68,4
72,69,4
72,70,3
72,71,4
72,72,5
72,73,4
72,74,5
72,75,4
72,76,4
72,77,2
72,83,0
72,84,0
72,85,1
72,86,0
72,87,0
72,88,0
72,89,0
72,90,0
72,91,0
72,92,0
72,93,0
72,94,0
72,95,0
72,96,1
72,97,1
72,98,1
72,99,0
72,100,1
72,101,3
72,102,2
72,103,1
72,104,5
72,105,5
72,106,0
72,107,0
72,108,0
72,109,0
72,110,0
72,111,0
72,112,0
72,113,0
72,114,0
72,115,0
72,116,0
72,117,0
72,118,0
72,119,0
72,120,4
72,121,5
72,122,5
72,123,0
72,124,0
72,125,0
72,126,0
72,127,0
72,128,0
72,129,4
72,130,0
73,41,0
73,42,0
73,43,0
73,44,0
73,45,0
73,46,0
73,47,0
73,48,0
73,49,0
73,50,0
73,51,0
73,52,0
73,53,0
73,54,1
73,55,2
73,56,5
73,57,0
73,58,4
73,59,3
73,60,4
73,61,4
73,62,0
73,63,0
73,64,4
73,65,3
73,66,3
73,67,4
73,68,5
73,69,5
73,70,4
73,71,4
73,72,3
73,73,4
73,74,5
73,75,4
73,76,5
73,77,5
73,78,0
73,82,0
73,83,0
73,84,0
73,85,0
73,86,0
73,87,0
73,88,0
73,89,0
73,90,0
73,91,0
73,92,0
73,93,0
73,94,0
73,95,0
73,96,0
73,97,1
73,98,1
73,99,1
73,100,1
73,101,5
73,102,5
73,103,5
73,104,5
73,105,0
73,106,0
73,107,0
73,108,0
73,109,0
73,110,0
73,111,0
73,112,0
73,113,0
73,114,0
73,115,0
73,116,5
73,117,3
73,118,5
73,119,5
73,120,5
73,121,4
73,122,5
73,123,0
73,124,0
73,125,0
73,126,0
73,127,0
73,128,0
73,129,0
73,130,3
74,41,0
74,42,0
74,43,0
74,44,0
74,45,0
74,46,0
74,47,0
74,48,0
74,49,0
74,50,0
74,51,0
74,52,0
74,53,0
74,54,1
74,55,2
74,56,2
74,57,0
74,58,5
74,59,3
74,60,3
74,61,4
74,62,3
74,63,3
74,64,3
74,65,4
74,66,3
74,67,5
74,68,3
74,69,1
74,70,5
74,71,2
74,72,4
74,73,5
74,74,4
74,75,5
74,76,4
74,77,5
74,78,5
74,81,1
74,82,0
74,83,0
74,84,0
74,85,0
74,86,0
74,87,0
74,88,0
74,89,0
74,90,0
74,91,0
74,92,0
74,93,0
74,94,0
74,95,0
74,96,0
74,97,3
74,98,5
74,99,2
74,100,1
74,101,0
74,102,1
74,103,0
74,104,0
74,105,0
74,106,0
74,107,0
74,108,0
74,109,0
74,110,0
74,111,0
74,112,0
74,113,0
74,114,0
74,115,0
74,116,5
74,117,3
74,118,5
74,119,5
74,120,5
74,121,5
74,122,0
74,123,1
74,124,0
74,125,0
74,126,0
74,127,0
74,128,0
74,129,0
74,130,0
75,42,0
75,43,0
75,44,0
75,45,0
75,46,0
75,47,0
75,48,0
75,49,0
75,50,0
75,51,0
75,52,0
75,53,0
75,54,0
75,55,3
75,56,3
75,57,0
75,58,0
75,59,2
75,60,3
75,61,5
75,62,4
75,63,4
75,64,3
75,65,4
75,66,5
75,67,2
75,68,5
75,69,2
75,70,4
75,71,5
75,72,0
75,73,5
75,74,5
75,75,4
75,76,5
75,77,2
75,78,4
75,79,2
75,80,2
75,81,0
75,82,0
75,83,0
75,84,0
75,85,0
75,86,0
75,87,0
75,88,0
75,89,0
75,90,0
75,91,0
75,92,0
75,93,0
75,94,0
75,95,0
75,96,0
75,97,2
75,98,5
75,99,5
75,100,0
75,101,0
75,102,0
75,103,0
75,104,0
75,105,0
75,106,0
75,107,0
75,108,0
75,109,0
75,110,0
75,111,0
75,112,5
75,113,5
75,114,3
75,115,5
75,116,5
75,117,3
75,118,5
75,119,3
75,120,5
75,121,3
75,122,5
75,123,0
75,124,0
75,125,0
75,126,0
75,127,0
75,128,0
75,130,3
76,42,0
76,43,0
76,44,0
76,45,0
76,46,0
76,47,0
76,48,0
76,49,0
76,50,0
76,51,0
76,52,0
76,53,0
76,54,0
76,55,4
76,56,4
76,57,3
76,58,0
76,59,4
76,60,4
76,61,4
76,62,4
76,63,3
76,64,3
76,65,5
76,66,5
76,67,1
76,68,2
76,69,2
76,70,4
76,71,5
76,72,5
76,73,4
76,74,4
76,75,5
76,76,5
76,77,5
76,78,4
76,79,4
76,80,0
76,81,0
76,82,0
76,83,0
76,84,0
76,85,0
76,86,0
76,87,0
76,88,2
76,89,4
76,90,0
76,91,1
76,92,0
76,93,0
76,94,0
76,95,0
76,96,5
76,97,5
76,98,0
76,99,0
76,100,5
76,101,0
76,102,0
76,103,0
76,104,0
76,105,0
76,106,4
76,107,4
76,108,0
76,109,0
76,110,0
76,111,0
76,112,0
76,113,3
76,114,5
76,115,5
76,116,0
76,117,5
76,118,2
76,119,5
76,120,2
76,121,5
76,122,0
76,123,0
76,124,0
76,125,0
76,126,0
76,130,4
77,42,0
77,43,0
77,44,0
77,45,0
77,46,0
77,47,0
77,48,0
77,49,0
77,50,0
77,51,0
77,52,0
77,53,0
77,54,0
77,55,4
77,56,5
77,57,4
77,58,0
77,59,0
77,60,5
77,61,4
77,62,5
77,63,5
77,64,3
77,65,5
77,66,5
77,67,5
77,68,2
77,69,2
77,70,5
77,71,5
77,72,5
77,73,5
77,74,4
77,75,1
77,76,4
77,77,5
77,78,4
77,79,5
77,80,3
77,81,0
77,82,0
77,83,0
77,84,0
77,85,0
77,86,4
77,87,5
77,88,2
77,89,4
77,90,5
77,91,2
77,92,0
77,93,0
77,94,2
77,95,4
77,96,4
77,97,5
77,98,0
77,99,0
77,100,1
77,101,1
77,102,0
77,103,0
77,104,0
77,105,2
77,106,5
77,107,2
77,108,0
77,109,0
77,110,0
77,111,0
77,112,0
77,113,0
77,114,0
77,115,0
77,116,0
77,117,0
77,118,5
77,119,5
77,120,5
77,121,2
77,122,0
77,123,0
77,124,0
77,125,0
77,130,4
78,43,0
78,44,0
78,45,0
78,46,0
78,47,0
78,48,0
78,49,0
78,50,0
78,51,0
78,52,0
78,53,0
78,54,0
78,55,0
78,56,4
78,57,4
78,58,0
78,59,1
78,60,4
78,61,4
78,62,5
78,63,5
78,64,5
78,65,5
78,66,5
78,67,5
78,68,4
78,69,1
78,70,5
78,71,5
78,72,5
78,73,2
78,74,0
78,75,5
78,76,5
78,77,5
78,78,4
78,79,5
78,80,5
78,81,5
78,82,5
78,83,0
78,84,4
78,85,4
78,86,5
78,87,5
78,88,4
78,89,4
78,90,2
78,91,5
78,92,1
78,93,0
78,94,5
78,95,4
78,96,4
78,97,1
78,98,1
78,99,1
78,100,1
78,101,0
78,102,0
78,103,0
78,104,0
78,105,0
78,106,0
78,107,5
78,108,0
78,109,0
78,110,0
78,111,0
78,112,0
78,113,0
78,114,0
78,115,0
78,116,0
78,117,0
78,118,1
78,119,5
78,120,5
78,121,0
78,122,0
78,123,0
78,124,0
78,130,5
79,43,0
79,44,0
79,45,0
79,46,0
79,47,0
79,48,0
79,49,0
79,50,0
79,51,0
79,52,3
79,53,3
79,54,0
79,55,0
79,56,5
79,57,5
79,58,5
79,59,4
79,60,5
79,61,5
79,62,5
79,63,5
79,64,5
79,65,5
79,66,5
79,67,5
79,68,5
79,69,2
79,70,1
