"hour","x","y","twitter","instagram"
3,107,57,1,0
3,112,77,0,1
3,114,76,0,1
3,116,72,1,0
3,117,100,0,1
3,118,66,0,1
3,119,79,0,1
3,120,71,0,1
3,121,78,0,1
3,129,69,0,1
3,130,76,0,1
3,131,72,0,1
3,131,73,1,4
3,131,76,0,1
3,132,73,0,3
3,132,74,0,1
3,132,76,0,1
3,132,81,0,1
3,134,87,0,1
3,135,63,0,1
3,135,74,0,1
3,135,76,0,1
3,135,83,0,1
3,136,63,0,1
3,136,70,0,1
3,136,79,0,1
3,136,81,0,1
3,138,56,0,1
3,138,68,0,1
3,138,72,0,2
3,138,74,0,1
3,138,79,1,19
3,141,70,1,2
3,143,79,0,2
3,144,85,0,1
3,146,64,0,1
3,147,93,1,1
3,148,87,1,0
3,150,78,0,1
3,152,80,0,1
3,153,74,1,0
3,170,70,1,0
3,191,101,1,1
4,106,82,0,3
4,107,57,0,2
4,111,76,0,2
4,116,72,1,0
4,117,80,0,1
4,120,79,0,1
4,121,66,0,1
4,124,74,0,1
4,125,78,0,1
4,125,79,0,1
4,129,69,0,1
4,129,82,0,1
4,130,68,0,1
4,131,73,0,1
4,132,73,0,2
4,132,74,0,1
4,134,87,0,1
4,135,72,0,1
4,138,66,0,1
4,138,67,0,1
4,138,72,0,1
4,138,79,1,12
4,140,70,0,1
4,141,69,1,0
4,141,70,0,1
4,144,79,0,1
4,148,76,0,2
4,148,79,0,1
4,148,87,1,0
4,149,77,0,1
4,150,75,0,1
4,157,84,1,1
4,182,75,1,1
5,107,57,0,5
5,107,58,0,1
5,110,106,0,1
5,115,33,0,1
5,116,72,1,0
5,120,70,0,1
5,120,78,0,1
5,122,47,0,1
5,122,80,0,1
5,124,81,0,1
5,125,78,0,1
5,126,58,0,1
5,131,72,0,1
5,131,73,1,1
5,131,80,0,1
5,132,73,0,3
5,132,74,0,1
5,133,73,0,1
5,137,71,0,2
5,138,67,0,2
5,138,79,0,19
5,140,119,0,1
5,141,69,1,0
5,141,70,0,2
5,143,79,0,1
5,148,87,1,0
5,151,76,0,1
5,159,87,0,1
5,170,76,0,1
6,67,113,0,1
6,90,114,0,1
6,103,104,0,1
6,105,79,0,1
6,107,57,0,7
6,109,72,0,1
6,116,72,1,0
6,118,75,0,1
6,120,78,0,1
6,121,78,0,1
6,126,58,0,1
6,126,89,1,0
6,128,73,1,1
6,129,91,0,1
6,131,72,0,1
6,131,73,0,2
6,131,76,0,1
6,132,73,0,3
6,132,74,0,2
